'varname';'Group';'Title';'Text'
'advimagepopup_enable';'attachment';\N;\N
'album_dataloc';'version';\N;\N
'album_picpath';'version';\N;\N
'album_thumbpath';'version';\N;\N
'album_thumburl';'version';\N;\N
'allow_signatures';'user';\N;\N
'apikey';'version';\N;\N
'apilogpostparam';'api';\N;\N
'attachfile';'version';\N;\N
'attachpath';'version';\N;\N
'attachresizes';'attachment';\N;\N
'autosave';'posting';\N;\N
'avatarpath';'version';\N;\N
'avatarurl';'version';\N;\N
'bbcode_video_scrape';'bbcode';\N;\N
'bing_ownership_verification_enable';'search_engine_verification';\N;\N
'bing_ownership_verification_tag';'search_engine_verification';\N;\N
'blog_pagetemplate';'blog';\N;\N
'cache_node_data';'server';\N;\N
'cache_templates_as_files';'stylelang';\N;\N
'cdnurl';'server';\N;\N
'channeltreelife';'forumdisplay';\N;\N
'cmspreviewimagesize';'vbcms';\N;\N
'commentmaxchars';'posting';\N;\N
'commentminchars';'posting';\N;\N
'contactusemail';'address';\N;\N
'contactusother';'address';\N;\N
'cpstyleimageext';'admincp';\N;\N
'crontab';'server';\N;\N
'def_cms_previewlength';'vbcms';\N;\N
'disable_php_rendering';'general';\N;\N
'dismissed_notification_ttl_days';'notification';\N;\N
'enable_profile_styling';'user';\N;\N
'enableapi';'api';\N;\N
'enableapilog';'api';\N;\N
'enablefacebookconnect';'facebook';\N;\N
'enablemonitor';'censor';\N;\N
'facebookappid';'facebook';\N;\N
'facebooksecret';'facebook';\N;\N
'facebookusergroupid';'facebook';\N;\N
'fcm_enabled';'api';\N;\N
'fcm_serverkey';'api';\N;\N
'ga_enabled';'search_engine_verification';\N;\N
'geoip_provider';'privacy';\N;\N
'geoip_service_key';'privacy';\N;\N
'google_ownership_verification_enable';'search_engine_verification';\N;\N
'google_ownership_verification_tag';'search_engine_verification';\N;\N
'guestcacheminutes';'server';\N;\N
'headeradnum';'version';\N;\N
'hv_recaptcha_privatekey';'versionsafe';\N;\N
'hv_recaptcha_publickey';'versionsafe';\N;\N
'hv_recaptcha2_theme';'versionsafe';\N;\N
'hv_type';'versionsafe';\N;\N
'hvcheck';'versionsafe';\N;\N
'imagick_pdf_thumbnail';'imagesettings';\N;\N
'mail_delay';'email';\N;\N
'mailqueue';'email';\N;\N
'max_age_channel';'activity_stream';\N;\N
'max_age_topic';'activity_stream';\N;\N
'monitorwords';'censor';\N;\N
'new_notification_ttl_days';'notification';\N;\N
'notification_usermention_enabled';'notification';\N;\N
'pagenavs';'general';\N;\N
'pm_floodcheck_starteronly';'pm';\N;\N
'pm_floodchecktime';'pm';\N;\N
'pmchat_chat_polling_idle_timeout';'pm';\N;\N
'pmchat_chat_polling_max_interval';'pm';\N;\N
'pmchat_chat_polling_min_interval';'pm';\N;\N
'pmchat_dropdown_max';'pm';\N;\N
'pmchat_header_polling_interval';'pm';\N;\N
'pmmaxchars';'pm';\N;\N
'pmminchars';'pm';\N;\N
'posticon_location';'version';\N;\N
'previewLength';'showthread';\N;\N
'privacy_consent_cookie_name';'privacy';\N;\N
'privacy_consent_delete_cookie';'privacy';\N;\N
'recheckfrequency';'server';\N;\N
'redirect_404_to_root';'general';\N;\N
'regrequirepaidsub';'register';\N;\N
'schemaenabled';'showthread';\N;\N
'search_cache_ttl';'server';\N;\N
'searchenginereferrers';'stylelang';\N;\N
'searchimplementation';'version';\N;\N
'sharing_twitter';'showthread';\N;\N
'sharing_twitter_username';'showthread';\N;\N
'showsignaturesinline';'showthread';\N;\N
'sigpicurl';'version';\N;\N
'sitemap_cron_enable';'sitemap';\N;\N
'sitemap_cron_frequency';'sitemap';\N;\N
'sitemap_path';'sitemap';\N;\N
'sitemap_priority';'sitemap';\N;\N
'sitemap_se_submit';'sitemap';\N;\N
'sitemap_url_perpage';'sitemap';\N;\N
'smiliepath';'versionsafe';\N;\N
'statusMaxChars';'user';\N;\N
'subscriptionmethods';'version';\N;\N
'template_cache_path';'stylelang';\N;\N
'templateversion';'version';\N;\N
'titleimageurl';'address';\N;\N
'twitterlogin_consumer_key';'externallogin';\N;\N
'twitterlogin_consumer_secret';'externallogin';\N;\N
'twitterlogin_enabled';'externallogin';\N;\N
'twitterlogin_images_directory';'externallogin';\N;\N
'twitterlogin_register_enabled';'externallogin';\N;\N
'url_nofollow';'bbcode';\N;\N
'url_nofollow_whitelist';'bbcode';\N;\N
'usebulkheader';'email';\N;\N
'useearlyflush';'server';\N;\N
'usefileavatar';'version';\N;\N
'user_autodelete_cooldown';'privacy';\N;\N
'userbbcodeavatar';'bbcode';\N;\N
'vb_antispam_badwords';'spam_management';\N;\N
'vb_antispam_maxurl';'spam_management';\N;\N
'vb_antispam_sfs_confidence';'spam_management';\N;\N
'vb_antispam_sfs_days';'spam_management';\N;\N
'vb_antispam_sfs_email';'spam_management';\N;\N
'vb_antispam_sfs_emaillist';'spam_management';\N;\N
'vb_antispam_sfs_ip';'spam_management';\N;\N
'vb_antispam_sfs_iplist';'spam_management';\N;\N
'vb_antispam_sfs_key';'spam_management';\N;\N
'vb_antispam_sfs_unavailable';'spam_management';\N;\N
'vb_antispam_sfs_username';'spam_management';\N;\N
'vb_antispam_type';'spam_management';\N;\N
'viglink_enabled';'version';\N;\N
'viglink_key';'version';\N;\N
'viglink_lii_excluded_usergroups';'version';\N;\N
